nom;prenom;date naissance;email;tel portable; tel fixe;num permis;taux de remise;adresse;adresse1;adresse2;raisonSo;SIRET;nomC societe;id client civ;id client type permis;id client ville cp;
Gros ;Maéva ;1958-02-05;maevagros@gmail.com ;06 78 75 08 87 ;01 61 66 25 97;760705052352;null;13 Rue Cadet ;null;null;null;null;null;1;3;29843;"INSERT INTO client (nom_client, prenom_client, dateN_client, email_client, tel_client, num_permis, taux_remise, add_facturation, add1_client, add2_client, raisonS_societe, siret_societe, nomC_societe, id_client_civ, id_client_type_permis, id_client_villecp) VALUES ('Gros ', 'Maéva ', '1958-02-05', 'maevagros@gmail.com ', '06 78 75 08 87 ', '760705052352', null, '13 Rue Cadet ', null, null, null, null, null, 1, 3, 29843);"
Martins ;Anaël ;1975-03-19;anaelmartins@gmail.com ;06 43 18 45 01 ;04 32 45 69 31;630006205508;1.17;63 Villa Belliard ;null;null;null;null;null;2;3;7024;"INSERT INTO client (nom_client, prenom_client, dateN_client, email_client, tel_client, num_permis, taux_remise, add_facturation, add1_client, add2_client, raisonS_societe, siret_societe, nomC_societe, id_client_civ, id_client_type_permis, id_client_villecp) VALUES ('Martins ', 'Anaël ', '1975-03-19', 'anaelmartins@gmail.com ', '06 43 18 45 01 ', '630006205508', 1.17, '63 Villa Belliard ', null, null, null, null, null, 2, 3, 7024);"
Lemaire ;Gabin ;1951-04-04;gabinlemaire@gmail.com ;06 24 66 90 73 ;05 99 96 20 11;280109543580;null;247 Place Albert-Londres ;null;null;null;null;null;1;2;34198;"INSERT INTO client (nom_client, prenom_client, dateN_client, email_client, tel_client, num_permis, taux_remise, add_facturation, add1_client, add2_client, raisonS_societe, siret_societe, nomC_societe, id_client_civ, id_client_type_permis, id_client_villecp) VALUES ('Lemaire ', 'Gabin ', '1951-04-04', 'gabinlemaire@gmail.com ', '06 24 66 90 73 ', '280109543580', null, '247 Place Albert-Londres ', null, null, null, null, null, 1, 2, 34198);"
Barreau ;Léonard ;1980-10-29;leonardbarreau@gmail.com ;06 20 60 25 46 ;01 71 92 08 04;390201500416;null;262 Rue Alexandre-Cabanel ;null;null;null;null;null;2;2;27123;"INSERT INTO client (nom_client, prenom_client, dateN_client, email_client, tel_client, num_permis, taux_remise, add_facturation, add1_client, add2_client, raisonS_societe, siret_societe, nomC_societe, id_client_civ, id_client_type_permis, id_client_villecp) VALUES ('Barreau ', 'Léonard ', '1980-10-29', 'leonardbarreau@gmail.com ', '06 20 60 25 46 ', '390201500416', null, '262 Rue Alexandre-Cabanel ', null, null, null, null, null, 2, 2, 27123);"
Duchemin ;Fanny ;1980-12-15;fannyduchemin@gmail.com ;06 58 70 20 49 ;04 50 41 06 61;040100076752;null;89 Rue Ernest-Psichari ;null;null;null;null;null;3;2;19354;"INSERT INTO client (nom_client, prenom_client, dateN_client, email_client, tel_client, num_permis, taux_remise, add_facturation, add1_client, add2_client, raisonS_societe, siret_societe, nomC_societe, id_client_civ, id_client_type_permis, id_client_villecp) VALUES ('Duchemin ', 'Fanny ', '1980-12-15', 'fannyduchemin@gmail.com ', '06 58 70 20 49 ', '40100076752', null, '89 Rue Ernest-Psichari ', null, null, null, null, null, 3, 2, 19354);"
Legendre ;Léon ;1990-04-20;leonlegendre@gmail.com ;06 86 86 05 95 ;01 20 86 64 69;200007233871;null;148 Avenue Caffieri ;null;null;null;null;null;1;2;25176;"INSERT INTO client (nom_client, prenom_client, dateN_client, email_client, tel_client, num_permis, taux_remise, add_facturation, add1_client, add2_client, raisonS_societe, siret_societe, nomC_societe, id_client_civ, id_client_type_permis, id_client_villecp) VALUES ('Legendre ', 'Léon ', '1990-04-20', 'leonlegendre@gmail.com ', '06 86 86 05 95 ', '200007233871', null, '148 Avenue Caffieri ', null, null, null, null, null, 1, 2, 25176);"
Rolland ;Alexis ;1960-04-07;alexisrolland@gmail.com ;06 94 16 43 87 ;01 65 43 20 62;530502735492;null;198 Place de l''Abbé-Basset ;null;null;null;null;null;1;1;2913;"INSERT INTO client (nom_client, prenom_client, dateN_client, email_client, tel_client, num_permis, taux_remise, add_facturation, add1_client, add2_client, raisonS_societe, siret_societe, nomC_societe, id_client_civ, id_client_type_permis, id_client_villecp) VALUES ('Rolland ', 'Alexis ', '1960-04-07', 'alexisrolland@gmail.com ', '06 94 16 43 87 ', '530502735492', null, '198 Place de l''Abbé-Basset ', null, null, null, null, null, 1, 1, 2913);"
Breton ;Jasmine ;1972-10-25;jasminebreton@gmail.com ;06 16 64 90 22 ;04 36 97 37 25;900007256403;null;99 Villa d''Este ;null;null;null;null;null;2;1;5910;"INSERT INTO client (nom_client, prenom_client, dateN_client, email_client, tel_client, num_permis, taux_remise, add_facturation, add1_client, add2_client, raisonS_societe, siret_societe, nomC_societe, id_client_civ, id_client_type_permis, id_client_villecp) VALUES ('Breton ', 'Jasmine ', '1972-10-25', 'jasminebreton@gmail.com ', '06 16 64 90 22 ', '900007256403', null, '99 Villa d''Este ', null, null, null, null, null, 2, 1, 5910);"
Deschamps ;Léonard ;1986-02-24;leonarddeschamps@gmail.com ;06 81 47 04 18 ;02 35 11 01 50;610108243056;null;107 Allée Gaston-Bachelard ;null;null;null;null;null;1;3;3207;"INSERT INTO client (nom_client, prenom_client, dateN_client, email_client, tel_client, num_permis, taux_remise, add_facturation, add1_client, add2_client, raisonS_societe, siret_societe, nomC_societe, id_client_civ, id_client_type_permis, id_client_villecp) VALUES ('Deschamps ', 'Léonard ', '1986-02-24', 'leonarddeschamps@gmail.com ', '06 81 47 04 18 ', '610108243056', null, '107 Allée Gaston-Bachelard ', null, null, null, null, null, 1, 3, 3207);"
Briand ;Romain ;1959-09-28;romainbriand@gmail.com ;06 75 36 50 21 ;03 66 07 08 46;090002313449;null;219 Boulevard Edgar-Quinet ;null;null;null;null;null;3;3;15832;"INSERT INTO client (nom_client, prenom_client, dateN_client, email_client, tel_client, num_permis, taux_remise, add_facturation, add1_client, add2_client, raisonS_societe, siret_societe, nomC_societe, id_client_civ, id_client_type_permis, id_client_villecp) VALUES ('Briand ', 'Romain ', '1959-09-28', 'romainbriand@gmail.com ', '06 75 36 50 21 ', '90002313449', null, '219 Boulevard Edgar-Quinet ', null, null, null, null, null, 3, 3, 15832);"
Marc ;Gaspard ;1964-04-26;gaspardmarc@hotmail.com ;06 78 33 71 02 ;03 52 00 66 23;520204011961;1.2;82 Rue Dutot ;null;null;null;null;null;3;3;12301;"INSERT INTO client (nom_client, prenom_client, dateN_client, email_client, tel_client, num_permis, taux_remise, add_facturation, add1_client, add2_client, raisonS_societe, siret_societe, nomC_societe, id_client_civ, id_client_type_permis, id_client_villecp) VALUES ('Marc ', 'Gaspard ', '1964-04-26', 'gaspardmarc@hotmail.com ', '06 78 33 71 02 ', '520204011961', 1.2, '82 Rue Dutot ', null, null, null, null, null, 3, 3, 12301);"
Joly ;Renaud ;1951-11-22;renaudjoly@hotmail.com ;06 32 18 41 58 ;04 33 18 25 58;970904814971;1.09;187 Villa Hersent ;null;null;null;null;null;2;1;5923;"INSERT INTO client (nom_client, prenom_client, dateN_client, email_client, tel_client, num_permis, taux_remise, add_facturation, add1_client, add2_client, raisonS_societe, siret_societe, nomC_societe, id_client_civ, id_client_type_permis, id_client_villecp) VALUES ('Joly ', 'Renaud ', '1951-11-22', 'renaudjoly@hotmail.com ', '06 32 18 41 58 ', '970904814971', 1.09, '187 Villa Hersent ', null, null, null, null, null, 2, 1, 5923);"
Regnier ;Alexandre ;1988-11-18;alexandreregnier@hotmail.com ;06 19 77 68 51 ;03 13 48 19 41;300602860410;null;175 Rue d''Oradour-Sur-Glane ;null;null;null;null;null;3;1;6832;"INSERT INTO client (nom_client, prenom_client, dateN_client, email_client, tel_client, num_permis, taux_remise, add_facturation, add1_client, add2_client, raisonS_societe, siret_societe, nomC_societe, id_client_civ, id_client_type_permis, id_client_villecp) VALUES ('Regnier ', 'Alexandre ', '1988-11-18', 'alexandreregnier@hotmail.com ', '06 19 77 68 51 ', '300602860410', null, '175 Rue d''Oradour-Sur-Glane ', null, null, null, null, null, 3, 1, 6832);"
Klein ;Esteban ;1964-03-15;estebanklein@hotmail.com ;06 15 09 68 02 ;03 97 10 83 33;750907143936;null;18 Rue des Camélias ;null;null;null;null;null;2;2;24939;"INSERT INTO client (nom_client, prenom_client, dateN_client, email_client, tel_client, num_permis, taux_remise, add_facturation, add1_client, add2_client, raisonS_societe, siret_societe, nomC_societe, id_client_civ, id_client_type_permis, id_client_villecp) VALUES ('Klein ', 'Esteban ', '1964-03-15', 'estebanklein@hotmail.com ', '06 15 09 68 02 ', '750907143936', null, '18 Rue des Camélias ', null, null, null, null, null, 2, 2, 24939);"
Allain ;Zoé ;1965-12-01;zoeallain@hotmail.com ;06 04 51 20 39 ;01 62 76 85 08;910108461032;null;232 Rue Escoffier ;null;null;null;null;null;1;3;6565;"INSERT INTO client (nom_client, prenom_client, dateN_client, email_client, tel_client, num_permis, taux_remise, add_facturation, add1_client, add2_client, raisonS_societe, siret_societe, nomC_societe, id_client_civ, id_client_type_permis, id_client_villecp) VALUES ('Allain ', 'Zoé ', '1965-12-01', 'zoeallain@hotmail.com ', '06 04 51 20 39 ', '910108461032', null, '232 Rue Escoffier ', null, null, null, null, null, 1, 3, 6565);"
Renaud ;Thibault ;1984-06-17;thibaultrenaud@hotmail.com ;06 99 71 49 97 ;02 86 54 95 48;120901726192;null;144 Rue Franc-Nohain ;null;null;null;null;null;1;1;29005;"INSERT INTO client (nom_client, prenom_client, dateN_client, email_client, tel_client, num_permis, taux_remise, add_facturation, add1_client, add2_client, raisonS_societe, siret_societe, nomC_societe, id_client_civ, id_client_type_permis, id_client_villecp) VALUES ('Renaud ', 'Thibault ', '1984-06-17', 'thibaultrenaud@hotmail.com ', '06 99 71 49 97 ', '120901726192', null, '144 Rue Franc-Nohain ', null, null, null, null, null, 1, 1, 29005);"
Baudry ;Malo ;1968-11-17;malobaudry@hotmail.com ;06 04 29 17 05 ;01 21 86 15 16;540604072188;null;268 Villa George-Sand ;null;null;null;null;null;3;3;28124;"INSERT INTO client (nom_client, prenom_client, dateN_client, email_client, tel_client, num_permis, taux_remise, add_facturation, add1_client, add2_client, raisonS_societe, siret_societe, nomC_societe, id_client_civ, id_client_type_permis, id_client_villecp) VALUES ('Baudry ', 'Malo ', '1968-11-17', 'malobaudry@hotmail.com ', '06 04 29 17 05 ', '540604072188', null, '268 Villa George-Sand ', null, null, null, null, null, 3, 3, 28124);"
Etienne ;Enzo ;1993-09-24;enzoetienne@hotmail.com ;06 18 20 03 39 ;02 71 89 25 95;380106756568;null;255 Rue François-Ier ;null;null;null;null;null;1;1;21745;"INSERT INTO client (nom_client, prenom_client, dateN_client, email_client, tel_client, num_permis, taux_remise, add_facturation, add1_client, add2_client, raisonS_societe, siret_societe, nomC_societe, id_client_civ, id_client_type_permis, id_client_villecp) VALUES ('Etienne ', 'Enzo ', '1993-09-24', 'enzoetienne@hotmail.com ', '06 18 20 03 39 ', '380106756568', null, '255 Rue François-Ier ', null, null, null, null, null, 1, 1, 21745);"
Guyon ;Maïwenn ;1952-12-13;maiwennguyon@hotmail.com ;06 40 41 78 59 ;03 06 74 14 90;390906243149;null;173 Rue Durouchoux ;null;null;null;null;null;3;3;33795;"INSERT INTO client (nom_client, prenom_client, dateN_client, email_client, tel_client, num_permis, taux_remise, add_facturation, add1_client, add2_client, raisonS_societe, siret_societe, nomC_societe, id_client_civ, id_client_type_permis, id_client_villecp) VALUES ('Guyon ', 'Maïwenn ', '1952-12-13', 'maiwennguyon@hotmail.com ', '06 40 41 78 59 ', '390906243149', null, '173 Rue Durouchoux ', null, null, null, null, null, 3, 3, 33795);"
Antoine ;Maëlle ;1955-01-29;maelleantoine@hotmail.com ;06 82 09 13 12 ;02 90 85 81 39;430302772410;null;43 Rue des Capucines ;null;null;null;null;null;1;1;29272;"INSERT INTO client (nom_client, prenom_client, dateN_client, email_client, tel_client, num_permis, taux_remise, add_facturation, add1_client, add2_client, raisonS_societe, siret_societe, nomC_societe, id_client_civ, id_client_type_permis, id_client_villecp) VALUES ('Antoine ', 'Maëlle ', '1955-01-29', 'maelleantoine@hotmail.com ', '06 82 09 13 12 ', '430302772410', null, '43 Rue des Capucines ', null, null, null, null, null, 1, 1, 29272);"
Bigot ;Émile ;1994-11-27;emilebigot@hotmail.com ;06 60 02 49 18 ;05 05 66 97 94;100604323799;null;65 Square Albert-Bartholomé ;null;null;null;null;null;1;3;19698;"INSERT INTO client (nom_client, prenom_client, dateN_client, email_client, tel_client, num_permis, taux_remise, add_facturation, add1_client, add2_client, raisonS_societe, siret_societe, nomC_societe, id_client_civ, id_client_type_permis, id_client_villecp) VALUES ('Bigot ', 'Émile ', '1994-11-27', 'emilebigot@hotmail.com ', '06 60 02 49 18 ', '100604323799', null, '65 Square Albert-Bartholomé ', null, null, null, null, null, 1, 3, 19698);"
Clerc ;Tatiana ;1992-10-26;tatianaclerc@hotmail.com ;06 26 23 44 75 ;01 13 01 65 42;560003273236;null;157 Place du Général-Gouraud ;null;null;null;null;null;3;3;15889;"INSERT INTO client (nom_client, prenom_client, dateN_client, email_client, tel_client, num_permis, taux_remise, add_facturation, add1_client, add2_client, raisonS_societe, siret_societe, nomC_societe, id_client_civ, id_client_type_permis, id_client_villecp) VALUES ('Clerc ', 'Tatiana ', '1992-10-26', 'tatianaclerc@hotmail.com ', '06 26 23 44 75 ', '560003273236', null, '157 Place du Général-Gouraud ', null, null, null, null, null, 3, 3, 15889);"
Husson ;Maéva ;1972-09-26;maevahusson@hotmail.com ;06 42 61 44 09 ;04 56 65 53 83;440302203980;1.12;32 Place du Général-Cochet ;null;null;null;null;null;3;1;3226;"INSERT INTO client (nom_client, prenom_client, dateN_client, email_client, tel_client, num_permis, taux_remise, add_facturation, add1_client, add2_client, raisonS_societe, siret_societe, nomC_societe, id_client_civ, id_client_type_permis, id_client_villecp) VALUES ('Husson ', 'Maéva ', '1972-09-26', 'maevahusson@hotmail.com ', '06 42 61 44 09 ', '440302203980', 1.12, '32 Place du Général-Cochet ', null, null, null, null, null, 3, 1, 3226);"
Durant ;Gilbert ;1996-03-10;gilbertdurant@hotmail.com ;06 90 59 04 77 ;03 42 37 05 48;510801334703;null;202 Rue Francis-Ponge ;null;null;'Ainyx’;'465 563 240 7033’;'Rousseau Mattéo’;3;3;23581;"INSERT INTO client (nom_client, prenom_client, dateN_client, email_client, tel_client, num_permis, taux_remise, add_facturation, add1_client, add2_client, raisonS_societe, siret_societe, nomC_societe, id_client_civ, id_client_type_permis, id_client_villecp) VALUES ('Durant ', 'Gilbert ', '1996-03-10', 'gilbertdurant@hotmail.com ', '06 90 59 04 77 ', '510801334703', null, '202 Rue Francis-Ponge ', null, null, 'Ainyx’, '465 563 240 7033’, 'Rousseau Mattéo’, 3, 3, 23581);"
Renaud ;Pauline ;1960-07-12;paulinerenaud@hotmail.com ;06 74 32 62 74 ;05 71 28 52 85;190206376267;null;133 Impasse Cesselin ;null;null;null;null;null;3;1;5764;"INSERT INTO client (nom_client, prenom_client, dateN_client, email_client, tel_client, num_permis, taux_remise, add_facturation, add1_client, add2_client, raisonS_societe, siret_societe, nomC_societe, id_client_civ, id_client_type_permis, id_client_villecp) VALUES ('Renaud ', 'Pauline ', '1960-07-12', 'paulinerenaud@hotmail.com ', '06 74 32 62 74 ', '190206376267', null, '133 Impasse Cesselin ', null, null, null, null, null, 3, 1, 5764);"
Dumoulin ;Chaïma ;1996-01-02;chaimadumoulin@hotmail.com ;06 58 79 36 04 ;02 08 61 48 31;640700203482;null;121 Rue Domat ;null;null;null;null;null;1;3;21075;"INSERT INTO client (nom_client, prenom_client, dateN_client, email_client, tel_client, num_permis, taux_remise, add_facturation, add1_client, add2_client, raisonS_societe, siret_societe, nomC_societe, id_client_civ, id_client_type_permis, id_client_villecp) VALUES ('Dumoulin ', 'Chaïma ', '1996-01-02', 'chaimadumoulin@hotmail.com ', '06 58 79 36 04 ', '640700203482', null, '121 Rue Domat ', null, null, null, null, null, 1, 3, 21075);"
Andrieu ;Adrian ;1997-06-13;adrianandrieu@hotmail.com ;06 67 17 52 34 ;05 54 10 40 27;800407602136;null;240 Rue de Capri ;null;null;null;null;null;2;1;31725;"INSERT INTO client (nom_client, prenom_client, dateN_client, email_client, tel_client, num_permis, taux_remise, add_facturation, add1_client, add2_client, raisonS_societe, siret_societe, nomC_societe, id_client_civ, id_client_type_permis, id_client_villecp) VALUES ('Andrieu ', 'Adrian ', '1997-06-13', 'adrianandrieu@hotmail.com ', '06 67 17 52 34 ', '800407602136', null, '240 Rue de Capri ', null, null, null, null, null, 2, 1, 31725);"
Monier ;Marie ;1989-09-27;mariemonier@hotmail.com ;06 39 93 43 91 ;01 03 67 62 57;300006921126;null;131 Rue Darwin ;null;null;null;null;null;1;2;30166;"INSERT INTO client (nom_client, prenom_client, dateN_client, email_client, tel_client, num_permis, taux_remise, add_facturation, add1_client, add2_client, raisonS_societe, siret_societe, nomC_societe, id_client_civ, id_client_type_permis, id_client_villecp) VALUES ('Monier ', 'Marie ', '1989-09-27', 'mariemonier@hotmail.com ', '06 39 93 43 91 ', '300006921126', null, '131 Rue Darwin ', null, null, null, null, null, 1, 2, 30166);"
Guillet ;Paul ;1958-02-18;paulguillet@hotmail.com ;06 56 52 36 84 ;01 63 54 08 07;340900633165;null;29 Rue du Général-Appert ;null;null;null;null;null;3;1;10519;"INSERT INTO client (nom_client, prenom_client, dateN_client, email_client, tel_client, num_permis, taux_remise, add_facturation, add1_client, add2_client, raisonS_societe, siret_societe, nomC_societe, id_client_civ, id_client_type_permis, id_client_villecp) VALUES ('Guillet ', 'Paul ', '1958-02-18', 'paulguillet@hotmail.com ', '06 56 52 36 84 ', '340900633165', null, '29 Rue du Général-Appert ', null, null, null, null, null, 3, 1, 10519);"
Roche ;Mehdi ;1969-07-11;mehdiroche@hotmail.com ;06 51 57 48 99 ;05 08 58 51 48;810501010729;null;106 Rue Frédéric-Brunet ;null;null;null;null;null;1;1;22403;"INSERT INTO client (nom_client, prenom_client, dateN_client, email_client, tel_client, num_permis, taux_remise, add_facturation, add1_client, add2_client, raisonS_societe, siret_societe, nomC_societe, id_client_civ, id_client_type_permis, id_client_villecp) VALUES ('Roche ', 'Mehdi ', '1969-07-11', 'mehdiroche@hotmail.com ', '06 51 57 48 99 ', '810501010729', null, '106 Rue Frédéric-Brunet ', null, null, null, null, null, 1, 1, 22403);"
Ferreira ;Rémi ;1953-12-22;remiferreira@hotmail.com ;06 65 57 99 04 ;02 47 31 99 17;020101704830;null;62 Villa de l''Ermitage ;null;null;null;null;null;1;3;27554;"INSERT INTO client (nom_client, prenom_client, dateN_client, email_client, tel_client, num_permis, taux_remise, add_facturation, add1_client, add2_client, raisonS_societe, siret_societe, nomC_societe, id_client_civ, id_client_type_permis, id_client_villecp) VALUES ('Ferreira ', 'Rémi ', '1953-12-22', 'remiferreira@hotmail.com ', '06 65 57 99 04 ', '20101704830', null, '62 Villa de l''Ermitage ', null, null, null, null, null, 1, 3, 27554);"
Fischer ;Thomas ;1967-03-13;thomasfischer@hotmail.com ;06 16 02 81 10 ;01 38 56 54 48;240307335025;null;118 Rue Cardinet ;null;null;null;null;null;1;2;24481;"INSERT INTO client (nom_client, prenom_client, dateN_client, email_client, tel_client, num_permis, taux_remise, add_facturation, add1_client, add2_client, raisonS_societe, siret_societe, nomC_societe, id_client_civ, id_client_type_permis, id_client_villecp) VALUES ('Fischer ', 'Thomas ', '1967-03-13', 'thomasfischer@hotmail.com ', '06 16 02 81 10 ', '240307335025', null, '118 Rue Cardinet ', null, null, null, null, null, 1, 2, 24481);"
Leconte ;Élouan ;1978-08-06;elouanleconte@hotmail.com ;06 01 31 34 96 ;02 75 49 59 31;730403311214;1.04;199 Impasse Canart ;null;null;null;null;null;3;1;20505;"INSERT INTO client (nom_client, prenom_client, dateN_client, email_client, tel_client, num_permis, taux_remise, add_facturation, add1_client, add2_client, raisonS_societe, siret_societe, nomC_societe, id_client_civ, id_client_type_permis, id_client_villecp) VALUES ('Leconte ', 'Élouan ', '1978-08-06', 'elouanleconte@hotmail.com ', '06 01 31 34 96 ', '730403311214', 1.04, '199 Impasse Canart ', null, null, null, null, null, 3, 1, 20505);"
Lesage ;Robin ;1986-06-24;robinlesage@hotmail.com ;06 72 14 44 53 ;01 29 46 71 05;250004946192;null;195 Rue de Fourcy ;null;null;null;null;null;3;2;24231;"INSERT INTO client (nom_client, prenom_client, dateN_client, email_client, tel_client, num_permis, taux_remise, add_facturation, add1_client, add2_client, raisonS_societe, siret_societe, nomC_societe, id_client_civ, id_client_type_permis, id_client_villecp) VALUES ('Lesage ', 'Robin ', '1986-06-24', 'robinlesage@hotmail.com ', '06 72 14 44 53 ', '250004946192', null, '195 Rue de Fourcy ', null, null, null, null, null, 3, 2, 24231);"
Rodrigues ;Émilie ;1969-03-09;emilierodrigues@hotmail.com ;06 72 49 22 50 ;01 17 11 49 88;040200163733;null;278 Passage du Champ-Marie ;null;null;null;null;null;3;2;24617;"INSERT INTO client (nom_client, prenom_client, dateN_client, email_client, tel_client, num_permis, taux_remise, add_facturation, add1_client, add2_client, raisonS_societe, siret_societe, nomC_societe, id_client_civ, id_client_type_permis, id_client_villecp) VALUES ('Rodrigues ', 'Émilie ', '1969-03-09', 'emilierodrigues@hotmail.com ', '06 72 49 22 50 ', '40200163733', null, '278 Passage du Champ-Marie ', null, null, null, null, null, 3, 2, 24617);"
Pineau ;Alexis ;1987-09-17;alexispineau@hotmail.com ;06 58 40 60 43 ;02 08 85 05 63;860900876323;null;28 Rue de Beaune ;null;null;null;null;null;2;2;12021;"INSERT INTO client (nom_client, prenom_client, dateN_client, email_client, tel_client, num_permis, taux_remise, add_facturation, add1_client, add2_client, raisonS_societe, siret_societe, nomC_societe, id_client_civ, id_client_type_permis, id_client_villecp) VALUES ('Pineau ', 'Alexis ', '1987-09-17', 'alexispineau@hotmail.com ', '06 58 40 60 43 ', '860900876323', null, '28 Rue de Beaune ', null, null, null, null, null, 2, 2, 12021);"
Hernandez ;Lucie ;1977-04-03;luciehernandez@hotmail.com ;06 37 56 30 94 ;02 44 59 74 71;810703073798;null;57 Rue Florian ;null;null;null;null;null;2;3;15022;"INSERT INTO client (nom_client, prenom_client, dateN_client, email_client, tel_client, num_permis, taux_remise, add_facturation, add1_client, add2_client, raisonS_societe, siret_societe, nomC_societe, id_client_civ, id_client_type_permis, id_client_villecp) VALUES ('Hernandez ', 'Lucie ', '1977-04-03', 'luciehernandez@hotmail.com ', '06 37 56 30 94 ', '810703073798', null, '57 Rue Florian ', null, null, null, null, null, 2, 3, 15022);"
Richard ;Maïlé ;1966-08-08;mailerichard@hotmail.com ;06 45 95 98 84 ;02 09 92 39 50;680106753456;null;45 Rue Émilio-Castelar ;null;null;'Devpulse’;'890 838 865 6374’;'Rousseau Mattéo’;1;2;10151;"INSERT INTO client (nom_client, prenom_client, dateN_client, email_client, tel_client, num_permis, taux_remise, add_facturation, add1_client, add2_client, raisonS_societe, siret_societe, nomC_societe, id_client_civ, id_client_type_permis, id_client_villecp) VALUES ('Richard ', 'Maïlé ', '1966-08-08', 'mailerichard@hotmail.com ', '06 45 95 98 84 ', '680106753456', null, '45 Rue Émilio-Castelar ', null, null, 'Devpulse’, '890 838 865 6374’, 'Rousseau Mattéo’, 1, 2, 10151);"
